# AGE[Myr] MET SSP Mstars
    1.000 0.0037047    ageGe_00_z004     1.0000
    1.000 0.0075640    ageGe_00_z008     1.0000
    1.000 0.0190000    ageGe_00_z020     1.0000
    1.000 0.0315321    ageGe_00_z040     1.0000
    3.000 0.0037047    ageGe_02_z004     1.0000
    3.000 0.0075640    ageGe_02_z008     1.0000
    3.000 0.0190000    ageGe_02_z020     1.0000
    3.000 0.0315321    ageGe_02_z040     1.0000
    3.981 0.0037047    age01_z004        0.9557
    3.981 0.0075640    age01_z008        0.9557
    3.981 0.0190000    age01_z019        0.9557
    3.981 0.0315321    age01_z030        0.9557
    5.623 0.0037047    age04_z004        0.9431
    5.623 0.0075640    age04_z008        0.9431
    5.623 0.0190000    age04_z019        0.9431
    5.623 0.0315321    age04_z030        0.9431
    8.913 0.0037047    age08_z004        0.9265
    8.913 0.0075640    age08_z008        0.9265
    8.913 0.0190000    age08_z019        0.9265
    8.913 0.0315321    age08_z030        0.9265
   10.000 0.0037047    age09_z004        0.9224
   10.000 0.0075640    age09_z008        0.9224
   10.000 0.0190000    age09_z019        0.9224
   10.000 0.0315321    age09_z030        0.9224
   12.590 0.0037047    age11_z004        0.9143
   12.590 0.0075640    age11_z008        0.9143
   12.590 0.0190000    age11_z019        0.9143
   12.590 0.0315321    age11_z030        0.9143
   14.130 0.0037047    age12_z004        0.9102
   14.130 0.0075640    age12_z008        0.9102
   14.130 0.0190000    age12_z019        0.9102
   14.130 0.0315321    age12_z030        0.9102
   17.780 0.0037047    age14_z004        0.9022
   17.780 0.0075640    age14_z008        0.9022
   17.780 0.0190000    age14_z019        0.9022
   17.780 0.0315321    age14_z030        0.9022
   19.950 0.0037047    age15_z004        0.8982
   19.950 0.0075640    age15_z008        0.8982
   19.950 0.0190000    age15_z019        0.8982
   19.950 0.0315321    age15_z030        0.8982
   25.119 0.0037047    age17_z004        0.8903
   25.119 0.0075640    age17_z008        0.8903
   25.119 0.0190000    age17_z019        0.8903
   25.119 0.0315321    age17_z030        0.8903
   31.620 0.0037047    age19_z004        0.8824
   31.620 0.0075640    age19_z008        0.8824
   31.620 0.0190000    age19_z019        0.8824
   31.620 0.0315321    age19_z030        0.8824
   39.811 0.0037047    age21_z004        0.8747
   39.811 0.0075640    age21_z008        0.8747
   39.811 0.0190000    age21_z019        0.8747
   39.811 0.0315321    age21_z030        0.8747
   56.230 0.0037047    age24_z004        0.8631
   56.230 0.0075640    age24_z008        0.8631
   56.230 0.0190000    age24_z019        0.8631
   56.230 0.0315321    age24_z030        0.8631
