# ID   AGE     MET  log(M/L)
  0  0.0010  0.0037  2.4988 
  1  0.0010  0.0076  2.4653 
  2  0.0010  0.0190  2.3874 
  3  0.0010  0.0315  2.3165 
  4  0.0040  0.0037  2.2793 
  5  0.0040  0.0076  2.1352 
  6  0.0040  0.0190  2.0636 
  7  0.0040  0.0315  2.0596 
  8  0.0030  0.0037  1.8223 
  9  0.0030  0.0076  1.9877 
 10  0.0030  0.0190  2.0646 
 11  0.0030  0.0315  1.8227 
 12  0.0056  0.0037  2.1964 
 13  0.0056  0.0076  2.0879 
 14  0.0056  0.0190  2.1231 
 15  0.0056  0.0315  2.1331 
 16  0.0089  0.0037  2.2777 
 17  0.0089  0.0076  2.3045 
 18  0.0089  0.0190  2.4664 
 19  0.0089  0.0315  2.4702 
 20  0.0126  0.0037  2.5079 
 21  0.0126  0.0076  2.5233 
 22  0.0126  0.0190  2.5126 
 23  0.0126  0.0315  2.5128 
 24  0.0141  0.0037  2.5957 
 25  0.0141  0.0076  2.5705 
 26  0.0141  0.0190  2.5854 
 27  0.0141  0.0315  2.5868 
 28  0.0178  0.0037  2.6729 
 29  0.0178  0.0076  2.6350 
 30  0.0178  0.0190  2.6956 
 31  0.0178  0.0315  2.6968 
 32  0.0199  0.0037  2.6912 
 33  0.0199  0.0076  2.6627 
 34  0.0199  0.0190  2.7461 
 35  0.0199  0.0315  2.7411 
 36  0.0100  0.0037  2.3628 
 37  0.0100  0.0076  2.4533 
 38  0.0100  0.0190  2.4572 
 39  0.0100  0.0315  2.4579 
 40  0.0251  0.0037  2.7246 
 41  0.0251  0.0076  2.7324 
 42  0.0251  0.0190  2.7990 
 43  0.0251  0.0315  2.7878 
 44  0.0316  0.0037  2.7566 
 45  0.0316  0.0076  2.7875 
 46  0.0316  0.0190  2.8820 
 47  0.0316  0.0315  2.8480 
 48  0.0398  0.0037  2.8246 
 49  0.0398  0.0076  2.8562 
 50  0.0398  0.0190  2.8960 
 51  0.0398  0.0315  2.8928 
 52  0.0562  0.0037  2.9207 
 53  0.0562  0.0076  2.9363 
 54  0.0562  0.0190  2.9449 
 55  0.0562  0.0315  3.0290 
 56  0.0631  0.0037  2.9540 
 57  0.0631  0.0076  2.9618 
 58  0.0631  0.0190  2.9920 
 59  0.0631  0.0315  3.0582 
 60  0.0630  0.0037  2.9444 
 61  0.0630  0.0076  2.9595 
 62  0.0630  0.0190  2.9788 
