# SSP fundamental properties
# ages [yr]    metallicities     alive stellar mass [Msun]
1000000.0   0.0037047   1.0
1000000.0   0.007564   1.0
1000000.0   0.019   0.9999999999999999
1000000.0   0.0315321   1.0
3981099.9999999995   0.0037047   0.9557
3981099.9999999995   0.007564   0.9557
3981099.9999999995   0.019   0.9557
3981099.9999999995   0.0315321   0.9557000000000001
3000000.0   0.0037047   1.0
3000000.0   0.007564   1.0
3000000.0   0.019   0.9999999999999998
3000000.0   0.0315321   1.0
5623000.0   0.0037047   0.9431000000000002
5623000.0   0.007564   0.9431
5623000.0   0.019   0.9431
5623000.0   0.0315321   0.9431
8913000.0   0.0037047   0.925894830319993
8913000.0   0.007564   0.9259023192397975
8913000.0   0.019   0.92589683546884
8913000.0   0.0315321   0.9259116357123798
12590000.0   0.0037047   0.914967273947147
12590000.0   0.007564   0.9149575054755192
12590000.0   0.019   0.9149646584511701
12590000.0   0.0315321   0.9149453531624394
14130000.0   0.0037047   0.9103905981750005
14130000.0   0.007564   0.9103736019680435
14130000.0   0.019   0.910386047461991
14130000.0   0.0315321   0.9103524581048087
17780000.0   0.0037047   0.9017320047721824
17780000.0   0.007564   0.9017241656279664
17780000.0   0.019   0.9017299058511904
17780000.0   0.0315321   0.9017144134642281
19950000.0   0.0037047   0.898172823200699
19950000.0   0.007564   0.8981895072189545
19950000.0   0.019   0.8981772903255769
19950000.0   0.0315321   0.8982102627087587
10000000.0   0.0037047   0.9226644104730298
10000000.0   0.007564   0.9226667977380921
10000000.0   0.019   0.922665049660244
10000000.0   0.0315321   0.9226697675775456
25119000.0   0.0037047   0.8896947542868756
25119000.0   0.007564   0.8897698531561973
25119000.0   0.019   0.8897148619145651
25119000.0   0.0315321   0.8898632787202695
31620000.000000004   0.0037047   0.8826417708659005
31620000.000000004   0.007564   0.8826468436108185
31620000.000000004   0.019   0.8826431290869641
31620000.000000004   0.0315321   0.8826531542791369
39811000.0   0.0037047   0.8755429029157982
39811000.0   0.007564   0.8753886859222126
39811000.0   0.019   0.8755016115099696
39811000.0   0.0315321   0.8751968347033414
56230000.0   0.0037047   0.8630072857799276
56230000.0   0.007564   0.8622881421984416
56230000.0   0.019   0.8636436186434603
56230000.0   0.0315321   0.8625373468332842
63100000.0   0.0037047   0.85920475365424
63100000.0   0.007564   0.8580400839461001
63100000.0   0.019   0.8607744067245362
63100000.0   0.0315321   0.8591876215923118
63000000.0   0.0037047   0.859260103466841
63000000.0   0.007564   0.8581019188551589
63000000.0   0.019   0.8608161710901684
63000000.0   0.0315321   0.8592363803294438
70800000.0   0.0037047   0.8549428180839644
70800000.0   0.007564   0.8532787959485703
70800000.0   0.019   0.8575585505708662
70800000.0   0.0315321   0.8554331988331432
112200000.0   0.0037047   0.8381283488470077
112200000.0   0.007564   0.8358934932553458
112200000.0   0.019   0.8438789174605792
112200000.0   0.0315321   0.8421199567726334
125900000.00000001   0.0037047   0.8332480425208951
125900000.00000001   0.007564   0.8310612851340246
125900000.00000001   0.019   0.8397568857036273
125900000.00000001   0.0315321   0.83848487545869
158500000.0   0.0037047   0.8238509895293248
158500000.0   0.007564   0.8216867433631154
158500000.0   0.019   0.8320905618251748
158500000.0   0.0315321   0.8314370320712179
199500000.0   0.0037047   0.8154596586880637
199500000.0   0.007564   0.8131815326123366
199500000.0   0.019   0.8257620392259739
199500000.0   0.0315321   0.8250508347838699
100000000.0   0.0037047   0.8424743150644218
100000000.0   0.007564   0.8401966274947706
100000000.0   0.019   0.8475496318718795
100000000.0   0.0315321   0.8453570364828604
281800000.0   0.0037047   0.801071144855765
281800000.0   0.007564   0.7986059826828172
281800000.0   0.019   0.8149242399836394
281800000.0   0.0315321   0.8141992729425878
354800000.0   0.0037047   0.7940092215658064
354800000.0   0.007564   0.7914746351279536
354800000.0   0.019   0.809642093364441
354800000.0   0.0315321   0.8091417371626204
501200000.0   0.0037047   0.780097467256179
501200000.0   0.007564   0.7774309113341036
501200000.0   0.019   0.7992022051764454
501200000.0   0.0315321   0.799139280581623
707900000.0   0.0037047   0.7685366783383738
707900000.0   0.007564   0.7659177144666
707900000.0   0.019   0.7894035496082912
707900000.0   0.0315321   0.7895386648128753
